d_dim,train_loss,train_accuracy,val_loss,val_accuracy
10,2.1731262551549144,0.23305626598465473,2.166852522807516,0.2385549363057325
25,1.9946146672948852,0.2555147058823529,1.9850290846672787,0.25507563694267515
50,1.0845795455186262,0.6561700767263428,1.002656989416499,0.6874004777070064
75,0.7355962643766647,0.7730179028132992,0.6582863184676808,0.7994625796178344
100,0.5020311457650436,0.8469469309462916,0.469727384436662,0.8548964968152867
110,0.41903069379079677,0.8743206521739131,0.3725810438204723,0.8932125796178344
120,0.42329481830987176,0.8721027813299232,0.37271445012016663,0.8855493630573248
130,0.36490538996427563,0.8912843670076727,0.33459214647864083,0.9012738853503185
140,0.3060844759159076,0.9039522058823529,0.27637321732131537,0.9142117834394905
150,0.2914424935913147,0.9100063938618926,0.2656634784760369,0.918093152866242
160,0.28070106582663706,0.9118446291560103,0.2501657563884547,0.9225716560509554
170,0.2984058104569802,0.9097266624040921,0.26056053432499526,0.9224721337579618
180,0.23715835907841887,0.9275095907928389,0.21648710631545942,0.9371019108280255
190,0.2114288049090244,0.9348425511508951,0.19762420126349683,0.9419785031847133
200,0.20603290699479526,0.9372202685421995,0.19141787285827527,0.9424761146496815
250,0.1802054839899473,0.9453324808184144,0.17185900984391286,0.9510350318471338
300,0.11971683642062385,0.9637747762148338,0.12139279006203268,0.9651671974522293
350,0.08437447584308017,0.9733256074168798,0.08891728558358114,0.9741242038216561
400,0.09147183284404047,0.9717671035805626,0.09379925403838894,0.9719347133757962
450,0.0775031777922912,0.9753436700767263,0.08548967217563823,0.977109872611465
500,0.07140499666866744,0.9775015984654731,0.08400044277025635,0.9765127388535032
